Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Yrs_since_inception,Outlet_Size,Outlet_Location_Type,Outlet_Type,sales
17.6,Low Fat,0.008046275,Dairy,173.7422,OUT017,9,Medium,Tier 2,Supermarket Type1,5863.0348
10.65,Low Fat,0.023971463,Fruits and Vegetables,54.0272,OUT046,19,Small,Tier 1,Supermarket Type1,447.4176
18.35,Regular,0.09468096,Fruits and Vegetables,86.2882,OUT018,7,Medium,Tier 3,Supermarket Type2,1631.8758
7.35,Regular,0.014394261,Fruits and Vegetables,241.3512,OUT045,14,Medium,Tier 2,Supermarket Type1,5331.7264
18.2,Low Fat,0.049396364,Fruits and Vegetables,146.4734,OUT049,17,Medium,Tier 1,Supermarket Type1,3563.3616
8.39,Regular,0.024243294,Frozen Foods,116.0176,OUT049,17,Medium,Tier 1,Supermarket Type1,1603.2464
14.3,Low Fat,0.122469209,Dairy,121.973,OUT013,29,High,Tier 3,Supermarket Type1,2709.806
10.195,Regular,0.017730951,Starchy Foods,239.8538,OUT017,9,Medium,Tier 2,Supermarket Type1,4086.0146
14.15,Low Fat,0.035016754,Snack Foods,245.3828,OUT018,7,Medium,Tier 3,Supermarket Type2,1705.7796
16.2,Low Fat,0.019417732,Soft Drinks,153.7972,OUT045,14,Medium,Tier 2,Supermarket Type1,1402.1748
12.65,Low Fat,0.105265475,Soft Drinks,159.9578,OUT010,18,Medium,Tier 3,Grocery Store,962.7468
10.895,Low Fat,0.044991876,Frozen Foods,107.228,OUT010,18,Medium,Tier 3,Grocery Store,426.112
5.735,Low Fat,0.05696122,Fruits and Vegetables,176.337,OUT046,19,Small,Tier 1,Supermarket Type1,1764.37
17.85,Low Fat,0.147255604,Breads,93.7436,OUT017,9,Medium,Tier 2,Supermarket Type1,1701.7848
5.82,Regular,0.077319079,Fruits and Vegetables,255.433,OUT046,19,Small,Tier 1,Supermarket Type1,4357.661
10,Low Fat,0.089135671,Health and Hygiene,146.9102,OUT035,12,Small,Tier 2,Supermarket Type1,3207.8244
17.6,Regular,0.041373331,Snack Foods,38.119,OUT035,12,Small,Tier 2,Supermarket Type1,732.38
10.1,Low Fat,0.027041859,Meat,77.567,OUT013,29,High,Tier 3,Supermarket Type1,306.268
17.6,Regular,0.03922186,Snack Foods,97.241,OUT046,19,Small,Tier 1,Supermarket Type1,193.082
8.645,Low Fat,0.021581922,Canned,53.3982,OUT035,12,Small,Tier 2,Supermarket Type1,1209.7586
19.5,Low Fat,0.128206001,Breads,155.9314,OUT046,19,Small,Tier 1,Supermarket Type1,3878.285
7.68,Low Fat,0.071301323,Fruits and Vegetables,190.8162,OUT017,9,Medium,Tier 2,Supermarket Type1,2693.8268
15.7,Low Fat,0.030765898,Hard Drinks,43.277,OUT045,14,Medium,Tier 2,Supermarket Type1,649.155
5.405,Regular,0.053730029,Canned,199.0742,OUT045,14,Medium,Tier 2,Supermarket Type1,4777.7808
20.85,Regular,0.062350672,Baking Goods,86.9514,OUT045,14,Medium,Tier 2,Supermarket Type1,1416.8224
7.39,Low Fat,0.068163102,Health and Hygiene,140.4812,OUT017,9,Medium,Tier 2,Supermarket Type1,2422.1804
6.465,Low Fat,0,Canned,263.1884,OUT018,7,Medium,Tier 3,Supermarket Type2,2914.8724
18.25,Low Fat,0.015309885,Snack Foods,197.6084,OUT045,14,Medium,Tier 2,Supermarket Type1,2380.9008
10.195,Low Fat,0.051618281,Breads,31.9558,OUT013,29,High,Tier 3,Supermarket Type1,373.5138
15.1,Low Fat,0.076505799,Baking Goods,91.583,OUT017,9,Medium,Tier 2,Supermarket Type1,539.298
13.65,Regular,0.013091186,Fruits and Vegetables,114.8834,OUT018,7,Medium,Tier 3,Supermarket Type2,1612.5676
5.985,Low Fat,0.096337184,Frozen Foods,125.2678,OUT017,9,Medium,Tier 2,Supermarket Type1,763.0068
9.5,Low Fat,0.142425145,Hard Drinks,189.9872,OUT010,18,Medium,Tier 3,Grocery Store,756.3488
11.15,Low Fat,0,Dairy,44.7744,OUT045,14,Medium,Tier 2,Supermarket Type1,181.0976
18,Low Fat,0.019386234,Health and Hygiene,126.8994,OUT046,19,Small,Tier 1,Supermarket Type1,3083.9856
16.2,Low Fat,0,Soft Drinks,73.4696,OUT013,29,High,Tier 3,Supermarket Type1,2087.9488
13.15,Low Fat,0.036729122,Frozen Foods,179.7976,OUT049,17,Medium,Tier 1,Supermarket Type1,2535.3664
20.6,Low Fat,0.045380404,Health and Hygiene,148.4392,OUT013,29,High,Tier 3,Supermarket Type1,1789.6704
11.395,Regular,0.069587171,Meat,234.6616,OUT046,19,Small,Tier 1,Supermarket Type1,4687.232
6.78,Regular,0.08573655,Fruits and Vegetables,229.5694,OUT013,29,High,Tier 3,Supermarket Type1,3425.541
8.84,Regular,0.076681143,Frozen Foods,110.7228,OUT049,17,Medium,Tier 1,Supermarket Type1,1657.842
16.7,Low Fat,0.102055777,Canned,184.0292,OUT046,19,Small,Tier 1,Supermarket Type1,3101.2964
13.3,Regular,0.071856726,Fruits and Vegetables,63.2536,OUT017,9,Medium,Tier 2,Supermarket Type1,1347.5792
12.6,Regular,0.063054947,Frozen Foods,102.399,OUT017,9,Medium,Tier 2,Supermarket Type1,2270.378
7.6,Regular,0.142383847,Starchy Foods,172.3448,OUT035,12,Small,Tier 2,Supermarket Type1,2556.672
12.6,Regular,0.03150851,Baking Goods,170.5764,OUT013,29,High,Tier 3,Supermarket Type1,3779.0808
6.67,Regular,0.123620492,Snack Foods,90.0514,OUT049,17,Medium,Tier 1,Supermarket Type1,1505.3738
10.695,Low Fat,0.06375108,Household,36.7848,OUT035,12,Small,Tier 2,Supermarket Type1,782.9808
16.6,Low Fat,0.122204371,Fruits and Vegetables,173.5738,OUT035,12,Small,Tier 2,Supermarket Type1,1911.5118
10,Regular,0.037764307,Snack Foods,127.2994,OUT046,19,Small,Tier 1,Supermarket Type1,642.497
19.1,Low Fat,0.092437711,Others,185.2608,OUT017,9,Medium,Tier 2,Supermarket Type1,1470.0864
17.6,Low Fat,0.137807013,Health and Hygiene,161.792,OUT010,18,Medium,Tier 3,Grocery Store,159.792
19.5,Regular,0.077292302,Soft Drinks,235.3958,OUT049,17,Medium,Tier 1,Supermarket Type1,6309.7866
10.1,Regular,0.045763062,Snack Foods,38.4848,OUT049,17,Medium,Tier 1,Supermarket Type1,633.8416
8.6,Low Fat,0.090558833,Household,112.6176,OUT018,7,Medium,Tier 3,Supermarket Type2,3091.9752
19.7,Low Fat,0.041703666,Frozen Foods,109.1912,OUT013,29,High,Tier 3,Supermarket Type1,1637.868
15.35,Low Fat,0.014098693,Frozen Foods,37.219,OUT017,9,Medium,Tier 2,Supermarket Type1,805.618
5.26,Regular,0.042008667,Baking Goods,162.6868,OUT017,9,Medium,Tier 2,Supermarket Type1,3767.0964
9.8,Low Fat,0.106933748,Fruits and Vegetables,175.337,OUT045,14,Medium,Tier 2,Supermarket Type1,529.311
16.5,Low Fat,0.012663476,Health and Hygiene,39.3506,OUT045,14,Medium,Tier 2,Supermarket Type1,645.1602
10.5,Low Fat,0.041387618,Fruits and Vegetables,40.1164,OUT035,12,Small,Tier 2,Supermarket Type1,849.5608
13.1,Low Fat,0.012148836,Others,191.353,OUT018,7,Medium,Tier 3,Supermarket Type2,1328.271
9.3,Regular,0.014047825,Snack Foods,196.5084,OUT045,14,Medium,Tier 2,Supermarket Type1,4364.9848
14.3,Low Fat,0.026375082,Frozen Foods,79.6302,OUT045,14,Medium,Tier 2,Supermarket Type1,792.302
10.8,Low Fat,0.052174319,Soft Drinks,240.3564,OUT045,14,Medium,Tier 2,Supermarket Type1,4290.4152
12.85,Low Fat,0.137786856,Snack Foods,157.763,OUT018,7,Medium,Tier 3,Supermarket Type2,2659.871
6.78,Low Fat,0.066608487,Fruits and Vegetables,184.624,OUT035,12,Small,Tier 2,Supermarket Type1,5406.296
9.195,Regular,0.064002068,Frozen Foods,85.5566,OUT035,12,Small,Tier 2,Supermarket Type1,930.1226
7.905,Low Fat,0.06406438,Hard Drinks,229.2694,OUT046,19,Small,Tier 1,Supermarket Type1,1826.9552
17.6,Low Fat,0.049345425,Snack Foods,115.4176,OUT017,9,Medium,Tier 2,Supermarket Type1,1145.176
15.7,Regular,0.11521312,Canned,112.0202,OUT017,9,Medium,Tier 2,Supermarket Type1,3150.5656
19.2,Low Fat,0.099991245,Frozen Foods,112.7886,OUT013,29,High,Tier 3,Supermarket Type1,1779.0176
7.405,Low Fat,0.015334003,Canned,92.7146,OUT018,7,Medium,Tier 3,Supermarket Type2,1185.7898
19.5,Regular,0.129170642,Soft Drinks,233.9958,OUT010,18,Medium,Tier 3,Grocery Store,467.3916
9.195,Regular,0.051908824,Baking Goods,78.1644,OUT017,9,Medium,Tier 2,Supermarket Type1,1414.1592
11.65,Low Fat,0.131770922,Baking Goods,151.1024,OUT045,14,Medium,Tier 2,Supermarket Type1,1518.024
21.1,Low Fat,0.028984804,Household,146.1786,OUT013,29,High,Tier 3,Supermarket Type1,3034.0506
8.695,Low Fat,0.120211747,Household,93.2094,OUT017,9,Medium,Tier 2,Supermarket Type1,666.4658
7.27,Regular,0.02076385,Canned,89.0488,OUT013,29,High,Tier 3,Supermarket Type1,181.0976
8.85,Low Fat,0.016006626,Household,105.6964,OUT013,29,High,Tier 3,Supermarket Type1,210.3928
18.6,Low Fat,0.015766712,Snack Foods,152.9366,OUT035,12,Small,Tier 2,Supermarket Type1,1662.5026
9.1,Regular,0.008046878,Frozen Foods,78.7618,OUT049,17,Medium,Tier 1,Supermarket Type1,402.809
7.975,Low Fat,0.014653896,Baking Goods,82.425,OUT049,17,Medium,Tier 1,Supermarket Type1,749.025
10,Low Fat,0.073794811,Health and Hygiene,121.444,OUT017,9,Medium,Tier 2,Supermarket Type1,2516.724
6.865,Low Fat,0.056830682,Snack Foods,214.0218,OUT046,19,Small,Tier 1,Supermarket Type1,5556.7668
16.7,Regular,0.054618573,Starchy Foods,65.5168,OUT035,12,Small,Tier 2,Supermarket Type1,1022.6688
7.285,Low Fat,0.052141447,Household,174.9054,OUT010,18,Medium,Tier 3,Grocery Store,525.3162
8.43,Low Fat,0.017360867,Soft Drinks,196.2768,OUT045,14,Medium,Tier 2,Supermarket Type1,1576.6144
20.2,Regular,0.196438668,Baking Goods,194.611,OUT010,18,Medium,Tier 3,Grocery Store,392.822
8.75,Regular,0.074743226,Fruits and Vegetables,187.6556,OUT049,17,Medium,Tier 1,Supermarket Type1,5257.1568
9.695,Low Fat,0.070431235,Hard Drinks,177.5344,OUT035,12,Small,Tier 2,Supermarket Type1,3033.3848
7.75,Regular,0.082930699,Frozen Foods,35.2558,OUT046,19,Small,Tier 1,Supermarket Type1,780.9834
19.75,Low Fat,0.041330512,Fruits and Vegetables,115.8466,OUT013,29,High,Tier 3,Supermarket Type1,2474.7786
9.8,Regular,0.235354055,Baking Goods,50.8008,OUT010,18,Medium,Tier 3,Grocery Store,101.2016
11.8,Regular,0.057746382,Meat,152.4366,OUT017,9,Medium,Tier 2,Supermarket Type1,3929.5516
9.8,Regular,0.045337184,Baking Goods,36.8874,OUT049,17,Medium,Tier 1,Supermarket Type1,564.5984
7.42,Low Fat,0.020374875,Snack Foods,248.0092,OUT013,29,High,Tier 3,Supermarket Type1,1245.046
20.75,Low Fat,0.035568147,Soft Drinks,151.8024,OUT010,18,Medium,Tier 3,Grocery Store,151.8024
12.6,Regular,0.062797771,Frozen Foods,103.999,OUT049,17,Medium,Tier 1,Supermarket Type1,825.592
19.75,Regular,0.018096488,Frozen Foods,179.566,OUT018,7,Medium,Tier 3,Supermarket Type2,2696.49
10.895,Regular,0.009613854,Dairy,122.973,OUT013,29,High,Tier 3,Supermarket Type1,1231.73
16.6,Low Fat,0.026645307,Frozen Foods,53.5614,OUT018,7,Medium,Tier 3,Supermarket Type2,939.4438
6.765,Regular,0.087753682,Frozen Foods,105.3306,OUT017,9,Medium,Tier 2,Supermarket Type1,2090.612
13.1,Low Fat,0.037657459,Fruits and Vegetables,175.8054,OUT045,14,Medium,Tier 2,Supermarket Type1,2801.6864
6.155,Regular,0.095195306,Meat,213.956,OUT017,9,Medium,Tier 2,Supermarket Type1,2343.616
10.65,Low Fat,0.048686689,Others,164.1526,OUT046,19,Small,Tier 1,Supermarket Type1,1808.9786
20.25,Regular,0.022940826,Baking Goods,241.8538,OUT046,19,Small,Tier 1,Supermarket Type1,5768.4912
20.5,Low Fat,0.119339241,Baking Goods,106.0596,OUT035,12,Small,Tier 2,Supermarket Type1,970.7364
11.8,Regular,0.014075334,Frozen Foods,176.8344,OUT013,29,High,Tier 3,Supermarket Type1,3568.688
15,Low Fat,0.046336634,Breads,120.0414,OUT013,29,High,Tier 3,Supermarket Type1,3533.4006
13.15,Low Fat,0.036641589,Frozen Foods,180.7976,OUT013,29,High,Tier 3,Supermarket Type1,6157.3184
15.5,Regular,0.101176316,Fruits and Vegetables,198.9768,OUT018,7,Medium,Tier 3,Supermarket Type2,4729.8432
11.6,Regular,0.079376029,Frozen Foods,81.7276,OUT017,9,Medium,Tier 2,Supermarket Type1,1949.4624
14.35,Regular,0.091054989,Frozen Foods,231.8984,OUT049,17,Medium,Tier 1,Supermarket Type1,4633.968
13.15,Low Fat,0.043852434,Snack Foods,182.695,OUT045,14,Medium,Tier 2,Supermarket Type1,4211.185
10.895,Regular,0.009620042,Dairy,121.673,OUT035,12,Small,Tier 2,Supermarket Type1,1970.768
10.1,Low Fat,0.054939848,Health and Hygiene,199.5084,OUT017,9,Medium,Tier 2,Supermarket Type1,3372.9428
18.7,Low Fat,0.014675574,Soft Drinks,50.8324,OUT017,9,Medium,Tier 2,Supermarket Type1,934.7832
12.15,Low Fat,0.14526636,Health and Hygiene,224.0404,OUT049,17,Medium,Tier 1,Supermarket Type1,3375.606
10.195,Regular,0.146662938,Frozen Foods,138.6838,OUT046,19,Small,Tier 1,Supermarket Type1,2388.2246
8.575,Regular,0.071786706,Dairy,193.3794,OUT013,29,High,Tier 3,Supermarket Type1,780.3176
16.5,Regular,0.133424184,Fruits and Vegetables,102.2332,OUT010,18,Medium,Tier 3,Grocery Store,102.5332
9.065,Low Fat,0.115799592,Frozen Foods,95.3094,OUT018,7,Medium,Tier 3,Supermarket Type2,1713.7692
16.6,Low Fat,0.027579198,Household,178.7344,OUT046,19,Small,Tier 1,Supermarket Type1,1605.9096
11.6,Regular,0.241055611,Dairy,238.5222,OUT010,18,Medium,Tier 3,Grocery Store,717.0666
19.5,Low Fat,0.014332439,Household,57.1614,OUT018,7,Medium,Tier 3,Supermarket Type2,1381.535
16.6,Low Fat,0.027133398,Health and Hygiene,106.2596,OUT010,18,Medium,Tier 3,Grocery Store,215.7192
11.85,Low Fat,0.132876847,Dairy,98.0726,OUT049,17,Medium,Tier 1,Supermarket Type1,1076.5986
12.85,Low Fat,0.03315162,Snack Foods,170.6422,OUT013,29,High,Tier 3,Supermarket Type1,2931.5174
9,Low Fat,0.019536981,Household,170.0474,OUT049,17,Medium,Tier 1,Supermarket Type1,4211.185
5.655,Low Fat,0.085258864,Fruits and Vegetables,165.85,OUT035,12,Small,Tier 2,Supermarket Type1,1830.95
8.93,Low Fat,0.013179388,Household,55.1614,OUT046,19,Small,Tier 1,Supermarket Type1,939.4438
15.2,Low Fat,0.033592687,Household,108.1912,OUT035,12,Small,Tier 2,Supermarket Type1,1856.2504
7.655,Low Fat,0.05346916,Canned,114.1492,OUT010,18,Medium,Tier 3,Grocery Store,115.8492
15.5,Low Fat,0.103603094,Snack Foods,143.547,OUT049,17,Medium,Tier 1,Supermarket Type1,1431.47
18.7,Low Fat,0.104840884,Frozen Foods,122.1072,OUT049,17,Medium,Tier 1,Supermarket Type1,490.0288
9.5,Low Fat,0.042056944,Soft Drinks,31.89,OUT018,7,Medium,Tier 3,Supermarket Type2,366.19
13.65,Low Fat,0.040049609,Frozen Foods,34.4558,OUT017,9,Medium,Tier 2,Supermarket Type1,611.2044
19.5,Regular,0.03075661,Canned,86.254,OUT045,14,Medium,Tier 2,Supermarket Type1,2163.85
8.71,Low Fat,0,Canned,46.5376,OUT013,29,High,Tier 3,Supermarket Type1,575.2512
19.6,Low Fat,0.024363939,Dairy,46.3718,OUT017,9,Medium,Tier 2,Supermarket Type1,661.8052
11.8,Low Fat,0.058725131,Health and Hygiene,82.3618,OUT035,12,Small,Tier 2,Supermarket Type1,1208.427
6.715,Regular,0.122274118,Baking Goods,40.3454,OUT017,9,Medium,Tier 2,Supermarket Type1,838.908
19.1,Low Fat,0.067239404,Household,39.6796,OUT013,29,High,Tier 3,Supermarket Type1,660.4736
20.7,Low Fat,0.021464454,Baking Goods,156.6288,OUT049,17,Medium,Tier 1,Supermarket Type1,3928.22
10.195,Low Fat,0.112681821,Hard Drinks,113.986,OUT018,7,Medium,Tier 3,Supermarket Type2,452.744
20.2,Regular,0.039469737,Breakfast,155.163,OUT017,9,Medium,Tier 2,Supermarket Type1,782.315
10.8,Low Fat,0.061101383,Soft Drinks,151.9024,OUT046,19,Small,Tier 1,Supermarket Type1,2580.6408
19.75,Low Fat,0.014359584,Household,100.8332,OUT018,7,Medium,Tier 3,Supermarket Type2,1537.998
19.35,Low Fat,0.016637301,Frozen Foods,120.9098,OUT049,17,Medium,Tier 1,Supermarket Type1,1687.1372
7.405,Low Fat,0.159843921,Dairy,206.6296,OUT018,7,Medium,Tier 3,Supermarket Type2,3115.944
15.25,Low Fat,0.061308889,Household,128.8968,OUT045,14,Medium,Tier 2,Supermarket Type1,2348.9424
8.895,Low Fat,0.026397141,Frozen Foods,207.8954,OUT045,14,Medium,Tier 2,Supermarket Type1,3542.7218
18.75,Low Fat,0.034307348,Household,215.2218,OUT046,19,Small,Tier 1,Supermarket Type1,4701.8796
20.1,Low Fat,0.074627201,Dairy,110.3228,OUT046,19,Small,Tier 1,Supermarket Type1,1768.3648
12.35,Low Fat,0.041973712,Health and Hygiene,35.7216,OUT017,9,Medium,Tier 2,Supermarket Type1,519.324
16.85,Regular,0.080015028,Snack Foods,111.8544,OUT018,7,Medium,Tier 3,Supermarket Type2,1677.816
18.25,Low Fat,0.10084386,Starchy Foods,166.3526,OUT010,18,Medium,Tier 3,Grocery Store,164.4526
17,Low Fat,0.055519561,Dairy,219.8114,OUT049,17,Medium,Tier 1,Supermarket Type1,1108.557
14.3,Low Fat,0.130946374,Baking Goods,76.7328,OUT018,7,Medium,Tier 3,Supermarket Type2,1312.9576
17.6,Regular,0.041381156,Snack Foods,35.019,OUT046,19,Small,Tier 1,Supermarket Type1,659.142
20.25,Low Fat,0.036474041,Dairy,218.3482,OUT018,7,Medium,Tier 3,Supermarket Type2,2409.5302
18,Low Fat,0.039231652,Snack Foods,145.1418,OUT017,9,Medium,Tier 2,Supermarket Type1,2648.5524
16.35,Low Fat,0.013393537,Others,106.028,OUT045,14,Medium,Tier 2,Supermarket Type1,1065.28
14,Regular,0.031444357,Canned,53.764,OUT017,9,Medium,Tier 2,Supermarket Type1,798.96
5.78,Low Fat,0.014555066,Soft Drinks,145.2102,OUT046,19,Small,Tier 1,Supermarket Type1,3062.0142
21,Low Fat,0.082526478,Snack Foods,191.8478,OUT010,18,Medium,Tier 3,Grocery Store,774.9912
13.65,Regular,0.080765853,Frozen Foods,262.8936,OUT049,17,Medium,Tier 1,Supermarket Type1,4958.8784
12.3,Regular,0.17797002,Fruits and Vegetables,173.1396,OUT010,18,Medium,Tier 3,Grocery Store,697.7584
12.35,Regular,0.03382933,Meat,196.9426,OUT045,14,Medium,Tier 2,Supermarket Type1,2768.3964
11.8,Low Fat,0.11397026,Soft Drinks,185.1924,OUT017,9,Medium,Tier 2,Supermarket Type1,2591.2936
19.7,Low Fat,0.038729457,Hard Drinks,127.3362,OUT035,12,Small,Tier 2,Supermarket Type1,755.0172
10.1,Low Fat,0.032075379,Canned,50.9008,OUT013,29,High,Tier 3,Supermarket Type1,354.2056
17.85,Low Fat,0.146305498,Breads,94.1436,OUT013,29,High,Tier 3,Supermarket Type1,1607.2412
20.7,Low Fat,0.026877471,Household,74.6354,OUT013,29,High,Tier 3,Supermarket Type1,1053.2956
8.89,Low Fat,0.005474515,Frozen Foods,99.7016,OUT046,19,Small,Tier 1,Supermarket Type1,1922.8304
14.5,Low Fat,0.064048405,Canned,153.4682,OUT035,12,Small,Tier 2,Supermarket Type1,1677.1502
9,Low Fat,0.032203667,Household,100.8016,OUT017,9,Medium,Tier 2,Supermarket Type1,1113.2176
13.35,Low Fat,0.017857847,Dairy,77.5012,OUT018,7,Medium,Tier 3,Supermarket Type2,1518.024
6.675,Low Fat,0.041921462,Snack Foods,92.3462,OUT046,19,Small,Tier 1,Supermarket Type1,2406.2012
10.3,Regular,0.024875871,Baking Goods,173.0422,OUT013,29,High,Tier 3,Supermarket Type1,2069.3064
17.1,Regular,0.073997843,Fruits and Vegetables,207.0638,OUT013,29,High,Tier 3,Supermarket Type1,4969.5312
14.15,Low Fat,0.020798905,Fruits and Vegetables,123.6046,OUT018,7,Medium,Tier 3,Supermarket Type2,1245.046
10.8,Low Fat,0.052363244,Soft Drinks,236.5564,OUT017,9,Medium,Tier 2,Supermarket Type1,5243.8408
8.5,Low Fat,0.098283459,Canned,51.3324,OUT018,7,Medium,Tier 3,Supermarket Type2,934.7832
6.215,Low Fat,0.012138795,Fruits and Vegetables,39.2848,OUT013,29,High,Tier 3,Supermarket Type1,521.9872
17.5,Low Fat,0,Snack Foods,253.0356,OUT035,12,Small,Tier 2,Supermarket Type1,4578.0408
20.7,Low Fat,0.042923652,Dairy,178.3028,OUT045,14,Medium,Tier 2,Supermarket Type1,1062.6168
8.975,Regular,0.009058845,Canned,103.399,OUT046,19,Small,Tier 1,Supermarket Type1,2579.975
20.5,Regular,0.032136417,Frozen Foods,83.9592,OUT010,18,Medium,Tier 3,Grocery Store,165.1184
13.65,Low Fat,0.065898197,Frozen Foods,46.1402,OUT018,7,Medium,Tier 3,Supermarket Type2,459.402
13.1,Low Fat,0.075731322,Dairy,167.5158,OUT045,14,Medium,Tier 2,Supermarket Type1,1504.0422
4.615,Regular,0.101812521,Canned,232.23,OUT035,12,Small,Tier 2,Supermarket Type1,5126.66
12.3,Regular,0.106327251,Fruits and Vegetables,172.8396,OUT046,19,Small,Tier 1,Supermarket Type1,2616.594
19.2,Low Fat,0.100055601,Frozen Foods,112.4886,OUT035,12,Small,Tier 2,Supermarket Type1,1223.0746
20.1,Regular,0.054540159,Frozen Foods,152.1366,OUT049,17,Medium,Tier 1,Supermarket Type1,755.683
11.5,Regular,0.037723476,Snack Foods,109.5254,OUT018,7,Medium,Tier 3,Supermarket Type2,1953.4572
9.3,Low Fat,0.14897741,Canned,143.0786,OUT010,18,Medium,Tier 3,Grocery Store,288.9572
15.2,Regular,0.104201019,Fruits and Vegetables,176.5054,OUT018,7,Medium,Tier 3,Supermarket Type2,2976.7918
12.65,Regular,0.076198809,Frozen Foods,191.3846,OUT045,14,Medium,Tier 2,Supermarket Type1,2675.1844
11.1,Low Fat,0.010639596,Canned,84.1908,OUT035,12,Small,Tier 2,Supermarket Type1,755.0172
19.2,Low Fat,0.041220035,Household,131.231,OUT035,12,Small,Tier 2,Supermarket Type1,3635.268
19.75,Low Fat,0.01247354,Fruits and Vegetables,187.5872,OUT045,14,Medium,Tier 2,Supermarket Type1,1323.6104
6.135,Low Fat,0.079132212,Soft Drinks,112.686,OUT045,14,Medium,Tier 2,Supermarket Type1,2942.836
12.5,Low Fat,0.020693809,Breads,199.1742,OUT035,12,Small,Tier 2,Supermarket Type1,4379.6324
7.235,Low Fat,0.10016525,Snack Foods,193.9452,OUT045,14,Medium,Tier 2,Supermarket Type1,2936.178
15.85,Low Fat,0.057302606,Snack Foods,53.3956,OUT035,12,Small,Tier 2,Supermarket Type1,600.5516
9.895,Regular,0.048761046,Frozen Foods,260.5278,OUT045,14,Medium,Tier 2,Supermarket Type1,8851.1452
20.75,Low Fat,0,Soft Drinks,153.0024,OUT035,12,Small,Tier 2,Supermarket Type1,2428.8384
10.8,Low Fat,0.052149675,Soft Drinks,239.9564,OUT049,17,Medium,Tier 1,Supermarket Type1,3813.7024
8.76,Low Fat,0.050130529,Health and Hygiene,128.3336,OUT049,17,Medium,Tier 1,Supermarket Type1,2556.672
16.1,Regular,0.024987903,Fruits and Vegetables,97.341,OUT049,17,Medium,Tier 1,Supermarket Type1,1255.033
7.1,Low Fat,0.109990885,Fruits and Vegetables,172.908,OUT035,12,Small,Tier 2,Supermarket Type1,2769.728
19.35,Regular,0.049736267,Fruits and Vegetables,76.8644,OUT045,14,Medium,Tier 2,Supermarket Type1,1571.288
16.7,Regular,0.117026714,Baking Goods,189.2214,OUT010,18,Medium,Tier 3,Grocery Store,188.4214
9.5,Regular,0.035121963,Fruits and Vegetables,168.6448,OUT013,29,High,Tier 3,Supermarket Type1,1022.6688
8.43,Low Fat,0.017311312,Soft Drinks,197.8768,OUT013,29,High,Tier 3,Supermarket Type1,3744.4592
14.15,Low Fat,0.008811818,Household,196.511,OUT045,14,Medium,Tier 2,Supermarket Type1,2749.754
5.44,Low Fat,0.025583714,Dairy,239.1538,OUT018,7,Medium,Tier 3,Supermarket Type2,480.7076
7.35,Regular,0.014353174,Fruits and Vegetables,242.6512,OUT013,29,High,Tier 3,Supermarket Type1,969.4048
20.1,Regular,0.054410179,Frozen Foods,151.3366,OUT013,29,High,Tier 3,Supermarket Type1,2720.4588
12,Low Fat,0.033974436,Canned,181.8976,OUT046,19,Small,Tier 1,Supermarket Type1,4527.44
21.25,Low Fat,0.009996872,Meat,185.5608,OUT035,12,Small,Tier 2,Supermarket Type1,3123.9336
8.3,Regular,0.030212499,Baking Goods,98.0384,OUT045,14,Medium,Tier 2,Supermarket Type1,2857.6136
10.1,Low Fat,0.027217468,Meat,76.067,OUT017,9,Medium,Tier 2,Supermarket Type1,1454.773
14.15,Low Fat,0.038123176,Starchy Foods,123.5046,OUT017,9,Medium,Tier 2,Supermarket Type1,1992.0736
9,Low Fat,0.079506434,Canned,78.3644,OUT045,14,Medium,Tier 2,Supermarket Type1,1728.4168
12.15,Low Fat,0.021811987,Breads,163.6184,OUT018,7,Medium,Tier 3,Supermarket Type2,2311.6576
20,Regular,0.028167478,Fruits and Vegetables,45.5744,OUT049,17,Medium,Tier 1,Supermarket Type1,452.744
6.71,Regular,0.029560451,Baking Goods,65.8142,OUT046,19,Small,Tier 1,Supermarket Type1,856.8846
7.365,Low Fat,0.04280099,Fruits and Vegetables,228.372,OUT017,9,Medium,Tier 2,Supermarket Type1,2037.348
7.935,Low Fat,0.017141985,Dairy,50.035,OUT013,29,High,Tier 3,Supermarket Type1,149.805
12.6,Low Fat,0.056394771,Seafood,51.3982,OUT017,9,Medium,Tier 2,Supermarket Type1,473.3838
17.6,Low Fat,0.056379439,Frozen Foods,42.7454,OUT049,17,Medium,Tier 1,Supermarket Type1,293.6178
19,Low Fat,0.129534812,Household,190.1872,OUT049,17,Medium,Tier 1,Supermarket Type1,5105.3544
7.5,Low Fat,0.036439878,Health and Hygiene,175.3028,OUT017,9,Medium,Tier 2,Supermarket Type1,3010.7476
13.35,Low Fat,0,Dairy,77.6012,OUT046,19,Small,Tier 1,Supermarket Type1,986.7156
8.6,Low Fat,0.090191431,Household,112.9176,OUT046,19,Small,Tier 1,Supermarket Type1,458.0704
10.5,Regular,0.022590318,Snack Foods,140.6154,OUT010,18,Medium,Tier 3,Grocery Store,283.6308
9,Low Fat,0.082011521,Frozen Foods,213.3534,OUT046,19,Small,Tier 1,Supermarket Type1,1935.4806
4.61,Low Fat,0.122843005,Hard Drinks,172.4396,OUT049,17,Medium,Tier 1,Supermarket Type1,1569.9564
